sample_id,iteration,seed,Percentage of burned trees
0,0,151563034837271057013348890033804633232,0.0355
0,1,142493512041073962045995519660731658842,0.0355
0,2,102728172824781204952614747558790844355,0.04
0,3,100519841810307555430155348645145216159,0.022
0,4,229018320346394399324719863512302349898,0.0295
0,5,117792252815229736380995381420752116794,0.0215
0,6,40669759712163596662545327591005037622,0.028
0,7,8153932782525706518605590928690542475,0.0225
0,8,248471390692696568509282236877918943819,0.04
0,9,28687217465284640147647965190485739795,0.0455
0,10,267133923590045481075449633625992078815,0.0295
0,11,49419963767231941719362773903783684284,0.0285
0,12,211180605453277127406134044011421372188,0.027
0,13,225218808979868661744282637516736782991,0.0335
0,14,314069564031599461256146161380167431180,0.0425
0,15,21409144489004975954667248320014807659,0.0395
0,16,254876678546824353280632306363115072014,0.0335
0,17,185710193334220681153886069919386990916,0.028
0,18,2404841295002329779859797727008507645,0.034
0,19,269045691585014470862370319047481774754,0.0275
0,20,266726390820508123256007371499870706354,0.0425
0,21,213720263084197238126363440820979831747,0.0365
0,22,64513318185119049848845184889732415398,0.0255
0,23,302263066600733466154918223320396481170,0.029
0,24,266054220856481296323640892788211497465,0.0415
0,25,275637633151980005720801661469052266308,0.0325
0,26,106668700394307520104769697359094528441,0.0375
0,27,320493024102456053556716325669026749740,0.041
0,28,61432957988853774814544381574864036830,0.03
0,29,189289138433218350076787369665161914908,0.032
0,30,121002273721898851804346293097627860027,0.018
0,31,8161002901758578754599286222759821705,0.0315
0,32,302822002528128464326161076679600601985,0.0305
0,33,233986167157299582105377099648437356267,0.0325
0,34,179510662365802306328686241284120363517,0.022
0,35,318471239081649678683019673539841452570,0.0215
0,36,191777710415534526243772785976851291717,0.029
0,37,141510483477051635999079329124213070519,0.034
0,38,83593821461719284186236404542776029307,0.0285
0,39,106213905670629300384541830663899583847,0.0335
1,0,171135773868679571785782190450863155181,0.05381375760411792
1,1,179712713361622323999052657865905976901,0.03369209171736079
1,2,91621006077132108979759186902106414940,0.031820308844174076
1,3,204788975241289019078279399033134719810,0.031820308844174076
1,4,70171230662393323344810053803433229885,0.03275620028076743
1,5,111170468697885932281725969809699047480,0.03743565746373421
1,6,67687997820872696889388516201091872240,0.02339728591483388
1,7,280401953422362943960365780739470890003,0.031820308844174076
1,8,66896419499343517790463833375383677153,0.035563874590547495
1,9,252867164661521570120496597309141678170,0.035563874590547495
1,10,148472892818205275700578598473882612853,0.04211511464670098
