sample_id,iteration,seed,Percentage of burned trees
0,0,258746040474775562786367669325927122690,0.0475
0,1,316030403247620048077416824925457983929,0.0315
0,2,335442175299124355482191850471993837807,0.0385
0,3,240501089241980313249557288347281200210,0.0255
0,4,182394471599040366229783292237029125173,0.028
0,5,14413587883086372185393980268268191100,0.04
0,6,275954816251944617097013674726884300987,0.0325
0,7,163543646148767631264189270792690352983,0.024
0,8,50077646753891669261681133476403217074,0.0325
0,9,282524188129155424876840776168718461193,0.0345
0,10,53963540328047540851923992256777909043,0.043
0,11,28557940259757132138682770024887017522,0.028
0,12,29551576420845642879899760619527035082,0.045
0,13,110449554072937007520194421381740925796,0.017
0,14,318539748823813981135218757339761710080,0.0245
0,15,1355667368419073397752840702276869519,0.0215
0,16,176436947029157200487978421903131509502,0.018
0,17,67661113276631301535141299214643349748,0.0255
0,18,79285944253938433504277193413201159488,0.031
0,19,334963066553049163975690027832544460544,0.0395
0,20,228657646815769441158501250522536620051,0.04
0,21,284559355666351406335721212209956148147,0.0385
0,22,242421014429441498736836478817157542950,0.029
0,23,116466083609882320937603002584047797367,0.0225
0,24,1108805288898981855456869100296250888,0.0375
0,25,333766100994669484860018758303457030989,0.0245
0,26,329336312827084687601873253259654044735,0.039
0,27,2942251759172838160701813800377375213,0.046
0,28,94698070626721826356319995715555025063,0.044
0,29,146759900508330036182156410034463575934,0.032
0,30,36613382785271078356726758958149478832,0.045
0,31,166956420308133536818129343337703109416,0.0335
0,32,159782639503119723563083878819067895828,0.0275
0,33,223228982033268817941359428124480220170,0.029
0,34,14250415311714784498092370673018917819,0.0465
0,35,733177352572130247420764429347388429,0.039
0,36,298809502205017393918210820029726428403,0.029
0,37,272404354192630320930793832221618089484,0.026
0,38,95492910197798952800929477102931173656,0.049
0,39,229198334136591370057107521480753832658,0.043
1,0,161620853213791503845254292509615647112,0.033224145999064106
1,1,175815126342535793932306618028832180686,0.022461394478240523
1,2,66455512819910634039822615843516443226,0.03883949461862424
1,3,203970049094515782576279008918005050993,0.035563874590547495
1,4,114880853799992950852113780797364518817,0.04117922321010763
1,5,24635198653076800173915971566346254778,0.03369209171736079
1,6,140360338067375710718164156599675473836,0.023865231633130556
1,7,337964593866134768065277442501435134121,0.033224145999064106
1,8,109031978920280112832416959730325889213,0.0271408516612073
1,9,223062264054308906697926464964364499003,0.029480580252690687
1,10,42641435724051696040009054513376939777,0.056621431913897985
1,11,44575814015789512695738926386480980805,0.030416471689284044
1,12,11173580868004477717535649913279251525,0.03228825456247075
1,13,33785812903310266562818681210113735116,0.035563874590547495
1,14,305940603740358660396825014728592582990,0.03228825456247075
1,15,633724739615299827343482420624883626,0.043518951801591016
1,16,18089293757604782090611559279616764638,0.03696771174543753
1,17,169373731608972943362693765850498263801,0.0271408516612073
1,18,78158717066301292686037939207194792339,0.043518951801591016
1,19,294319174868818687689723900376318274118,0.03228825456247075
1,20,116271711463626299269082516334307971381,0.030416471689284044
1,21,77348487403152548647261179820819459323,0.02667290594291062
1,22,71722834107629379432483984243997482541,0.028544688816097334
1,23,289547368774765878039869395597422699662,0.03696771174543753
1,24,100754586157547662123150469004597463043,0.033224145999064106
1,25,164144329235374248462651901466264437862,0.024333177351427236
1,26,46824893169087951350873506949430023669,0.0271408516612073
1,27,25718189616415872618566451051689779862,0.03603182030884417
1,28,311752052877835459006631201175622132000,0.026204960224613945
1,29,30477948230626783569755009634772253490,0.03369209171736079
1,30,279398386159002254526996013475035720343,0.04773046326626111
1,31,288688630422562416170087219830871494483,0.03462798315395414
1,32,37273304723438818562242700087267329028,0.028544688816097334
1,33,263613954241757398355091027546888709220,0.029948525970987367
1,34,72704717999017539567939250486733738887,0.029948525970987367
1,35,336539936727678321534979540362130339403,0.020121665886757137
1,36,296981710563741900790468338536181537369,0.0313523631258774
1,37,119155715692715702549053997702101522600,0.02339728591483388
1,38,129612076469706120126796424833102598385,0.0313523631258774
1,39,303878332533076471096734901213906772813,0.026204960224613945
2,0,316809379320467321528689505099197751862,0.05186813186813187
2,1,327156544792602131186751545594213846987,0.025934065934065935
2,2,327876340749032706463484802321134133104,0.033846153846153845
2,3,18621452215099748976728179734892893678,0.024615384615384615
2,4,193567132998914338925308894824188131216,0.03032967032967033
2,5,31071700868316457846521644515358553469,0.036923076923076927
2,6,257768099156321605688289589465401423436,0.026813186813186812
2,7,228583067174994765932517034799193456624,0.035164835164835165
2,8,296845338430155790818868686286585813764,0.04043956043956044
2,9,266140529786256017995979709298000892848,0.03208791208791209
2,10,190363007386950100827962928348085945968,0.04483516483516484
2,11,124342721091318908596847441259058820429,0.027252747252747254
2,12,181188102935911622669764097164652131654,0.03824175824175824
2,13,279416205226778388950498636194975855245,0.03868131868131868
2,14,61002146155102752019790171932794818420,0.045714285714285714
2,15,178299333228503354823365665416201169813,0.03956043956043956
2,16,292159836257084705623339282527514171938,0.024615384615384615
2,17,127880284427958752809299278843345256017,0.04
2,18,10590858890725843996905747144625265201,0.023736263736263738
2,19,104013375704625491821287882788010468516,0.043076923076923075
2,20,109420405774315598496928378994872113724,0.03868131868131868
2,21,237727230338851080327490851525716278310,0.06241758241758242
2,22,234216940351977505236295821894838138733,0.033846153846153845
2,23,295463447074541472607787044998087572431,0.03956043956043956
2,24,205421658446263749968814798151672268949,0.03428571428571429
2,25,314346614971330232447169635308527371555,0.03472527472527472
2,26,334638543008823163169019749302142119437,0.053626373626373625
2,27,260647806453982642544827571238295793625,0.033846153846153845
2,28,222820175752954889362358486191354323625,0.044395604395604395
2,29,244072176291724020641764105173667182682,0.043076923076923075
2,30,122363590382879827077450493793455158813,0.047472527472527476
2,31,8446747113538158282554236159897716426,0.04131868131868132
2,32,179398465698197998725827697939232520366,0.045714285714285714
2,33,246610906358951707062445565697921317683,0.04043956043956044
2,34,128731105238871713593031476984306598138,0.036483516483516484
2,35,52113961077860236140392837379553517678,0.03428571428571429
2,36,69701382506720605172016906678396099384,0.04835164835164835
2,37,278377915383059914432009828948770093392,0.023736263736263738
2,38,252795270788347459352104801584294066021,0.05054945054945055
2,39,46050297634340537594319292961525566819,0.03340659340659341
3,0,126140058098647001152609124976589189048,0.033568172399502695
3,1,15143105646478303668973433945772984662,0.04185661002900953
3,2,234125807666834087140603351604163333963,0.03895565685868214
3,3,289699849459026089412805912771028271180,0.042271031910484876
3,4,243920786830388552129800003694644417813,0.025279734769995857
3,5,186767218597828230316230304217129480740,0.04434314131786158
3,6,8664521489445097331328542775720056475,0.03771239121425611
3,7,101171258701688913870140987666939822541,0.031910484873601326
3,8,263734298579059817685773772880905322304,0.055946953999171156
3,9,92755474434050063661507167225909998720,0.036469125569830084
3,10,16679181506045224447412449123105369720,0.03232490675507667
3,11,271964811825179414472518833776173598057,0.03439701616245338
3,12,178226772931271454457675957246689528902,0.03232490675507667
3,13,230485762659283079574293083798047870825,0.024450891007045172
3,14,117571769260855463810874052396720294650,0.05263157894736842
3,15,147180385366932026927946418532014326470,0.029838375466224618
3,16,157858271071710718757331547224102595709,0.035225859925404064
3,17,140639505082111448093471297770499531584,0.04309987567343556
3,18,2971235238186752094199907806118374994,0.04144218814753419
3,19,24666042663337730868775698499943687895,0.029838375466224618
3,20,188524046928751006212123179017217783641,0.0256941566514712
3,21,66735239732278864320893137777381274347,0.04268545379196022
3,22,75557388191131898398003305522687036467,0.045171985080812264
3,23,53680933709420136402800684838036547591,0.03232490675507667
3,24,77590504140632350812900761021167800728,0.03729796933278077
3,25,220324686392197947785990173042309652163,0.03605470368835474
3,26,250813677123672113300147250444208581454,0.036883547451305426
3,27,176070185437716879964166837223628301450,0.040198922503108164
3,28,111845768439414401222416430097033525291,0.027766266058847907
3,29,5015229335816542975675061474310212784,0.03398259428097804
3,30,7310954336031348229702591320299640863,0.029838375466224618
3,31,18389753812514729482283394803100631914,0.04144218814753419
3,32,7864018690063569362033449997062273916,0.04682967260671363
3,33,245559629727997565829687523334134128616,0.030252797347699957
3,34,268742194237297831434042350429921698690,0.033568172399502695
3,35,235603171018572753360092969636719411513,0.05884790716949855
3,36,306652720222150130153181439226220495624,0.03729796933278077
3,37,130902743569815588778104092301839824619,0.050559469539991714
3,38,172502538865864288600002845526094309267,0.04061334438458351
3,39,70501408917547985096477314959526998179,0.03481143804392872
4,0,147382464919143593620161888074752605614,0.029008232065856527
4,1,217862975012507560135182320040740254615,0.06115248921991376
4,2,242595001833276856585070539766738234879,0.04351234809878479
4,3,165240386581641834271814766824291316857,0.047040376323010585
4,4,52778072762430042635456886933770752319,0.03724029792238338
4,5,191567280086808062625919275066163783566,0.05566444531556253
4,6,312622633778094886378639022429967231121,0.03567228537828303
4,7,206761658587634463484810661483609222815,0.032928263426107406
4,8,158449604875104990169286569011521141541,0.05370442963543708
4,9,192257434916840915134475525904651211765,0.036456291650333206
4,10,67045233920112463205930797354941288564,0.05566444531556253
4,11,120983819479551905247630227118342711620,0.029400235201881616
4,12,64687229794503083510816390064933737930,0.03410427283418267
4,13,65174925479332704239454955658494790625,0.047432379459035674
4,14,247362537316461411012771638565465820919,0.04155233241865935
4,15,106181832791077355481118601153724703145,0.052920423363386905
4,16,166453651483092442813005319832097897789,0.03136025088200706
4,17,302839947438749775521093856054644179163,0.04351234809878479
4,18,247647965859082806433831507368987428759,0.032928263426107406
4,19,44937064729556360226180437996633569590,0.04037632301058409
4,20,199325443702207738644801247309553477949,0.06507252058016465
4,21,78938201348010331919661788588633912434,0.036456291650333206
4,22,279324993017907519354235756035294624704,0.05370442963543708
4,23,70273028867740413216865298854966393437,0.06585652685221481
4,24,51073320577769863197555519759862543093,0.053312426499411994
4,25,17109917609410621138537099495710994746,0.042336338690709525
4,26,45381136557032551734463932318147681975,0.04116032928263426
4,27,188835402764875171353372913111239460857,0.03880831046648373
4,28,308248673159782692528721817946693830468,0.047432379459035674
4,29,317849899416415197366293978758534698107,0.04076832614660917
4,30,262092869933876372698632051747831832927,0.026656213249705997
4,31,61986613301894679402718678234969108698,0.04939239513916111
4,32,287603187827512184445956244639473382391,0.05488043904351235
4,33,31521656769352112536591270561938663962,0.03920031360250882
4,34,239970019460955730358218282265112983849,0.04351234809878479
4,35,205722399090072322606663672387108916552,0.046648373186985496
4,36,157528113846874167079574970926592286141,0.04821638573108585
4,37,180551192678820451652223701434038037399,0.03528028224225794
4,38,3271298258930121950169293738263606771,0.06899255194041552
4,39,31416727966804091987023675091057790659,0.062328498627989025
5,0,172096473107866730956269015239317927934,0.05169207883971737
5,1,332127581722454270806505498479214342281,0.056154704351059875
5,2,207339327150139350202564597480978513328,0.03756043138713276
5,3,338947958329886201921391671116220058506,0.03904797322424693
5,4,68837212708677625647637517860085601685,0.03644477500929714
5,5,229698307974912418230432061071631795863,0.054667162513945704
5,6,265210469133764671388573264567761137185,0.03718854592785422
5,7,304514113435113066771436301752356377489,0.046113796950539236
5,8,306958004738502595289192423670222867833,0.07735217552993678
5,9,142025153152442957859111645510450707899,0.034585347712904425
5,10,236788055330498022955724041422843956575,0.0810710301227222
5,11,228144845500045744554429708311692147911,0.04797322424693194
5,12,81869347209538644890161570169168673051,0.05392339159538862
5,13,42288832780810330701512464511842848676,0.05801413164745258
5,14,261986905820309073423863904831515744603,0.02714763852733358
5,15,256088721177547314849434532550601612495,0.055782818891781334
5,16,30128385556463863530768179124016819986,0.05838601710673113
5,17,139342039315918457722876396493478490568,0.059873558943845294
5,18,302947569690997057930424455018347166877,0.044626255113425065
5,19,137187127752923668703191016033925032172,0.08404611379695054
5,20,314497272627551256214763636366449861875,0.03867608776496839
5,21,679562124699513794944246703981842568,0.04871699516548903
5,22,239241865651154641918023885579759848761,0.039419858683525474
5,23,311201814715484709933073743734161365278,0.049832651543324655
5,24,19478885642229425607676246007338771084,0.03681666046857568
5,25,335319512101798557566441338563458284082,0.044998140572703606
5,26,113342459329860016755439805091300377350,0.0572703607288955
5,27,151921862153260937158142924791787274007,0.05764224618817404
5,28,21002078099790254444908363204225384511,0.04239494235775381
5,29,54940068771469383321739530269790291852,0.03904797322424693
5,30,299041946398783956519639817092424568460,0.04313871327631089
5,31,236102673793897502969582311289500670350,0.0379323168464113
5,32,20837623920506461059687225631169572628,0.04276682781703235
5,33,71676465943091307314235092885412260022,0.05057642246188174
5,34,212144746677291688564248162986697391013,0.05392339159538862
5,35,195067407229653257916280196660522095654,0.0360728895500186
5,36,30935526807684783514221058241139580780,0.06247675715879509
5,37,264966285015827872184915248596444577792,0.03495723317218297
5,38,247892553246629838675142363428721695739,0.04797322424693194
5,39,270170084697458850476387854344634080352,0.060245444403123835
6,0,213644491449575359546427367810198787417,0.038910505836575876
6,1,176826368787601323511064934221026639620,0.036434382737884685
6,2,146601029568560822486350677370604117397,0.03926423770781747
6,3,299802920039330951188528889754130662499,0.03820304209409268
6,4,258291215784340936993252575850717050901,0.04244782454899186
6,5,96281294942680942339623234371064765476,0.05376724442872303
6,6,66658330994881518534803206199510539176,0.055182171913689425
6,7,41888369660845060910823843015926532108,0.032189600282985495
6,8,302308200436734264082338685857511656380,0.04032543332154227
6,9,232495312393922458017451843726751664054,0.05942695436858861
6,10,47273748196461823788326820670484254121,0.0633180049522462
6,11,14385302041359667040441103251413514040,0.045277679518924654
6,12,201155743134259726982040104160650458337,0.09055535903784931
6,13,205907182657709893056161649238656766334,0.04386275203395826
6,14,84089788509085344115013794810850663567,0.05624336752741422
6,15,143295615187776737679275352709825923894,0.05695083126989742
6,16,334652446480488314461075312241122995681,0.05129112133003184
6,17,190553576570415173822589070799178028813,0.044570215776441456
6,18,80339754254181988953429328094679134067,0.07110010611956137
6,19,124830275654239738619753837559024858902,0.04704633887513265
6,20,328922323696116745246106971476888932187,0.0615493455960382
